GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0048627,MEGF10 SDC1 WNT10B SOX15,4,myoblast development,MEGF10 WNT10B COL4A5 TMC6,KRTAP4-9 SPAG4 ACOD1 MTHFD2L
GO:1904888,CPLANE2 NEUROG1 GRHL2 TGFB3 EXT1 TGFBR2 TWIST1 EDNRA WDR19 MED12 TGFB2 PAX5 NDST1 FOXE1 EIF4A3 RAB23 DCANP1 TP63 WNT9B TFAP2A IFT140 GLI3 PDGFRA ZIC3 INSIG1 MMP16 CHST11 CTNNB1 NIPBL INSIG2 IRX5 NOG SIX2 TBX1 TGFBR1 RIC1 COLEC10 TIFAB FOXN3 FGFR2 RDH10 CRKL TMEM107 FOXC2 SLC39A1 SMAD2 SIX1 FREM1 RUNX2 SIX4 MTHFD1 GNA11 IRF6 MTHFD1L LHX1 NODAL PRRX1 BMP4 MSX2 TULP3 MEGF8 FGF8 CEP55 SMAD3 MMP14 SETD2 TBX15 DLX2 HOXA2 FGF4 SLC39A3 HOXA1,72,cranial skeletal system development,TFAP2A SIX4 MTHFD1L FGFR2 GNA11 TGFB3 IFT140 MEGF8 CEP55 MED12 DLX2 LHX1 SETD2 SMAD2 TP63 TULP3 TBX15 HOXA2 EXT1 EDNRA CPLANE2 PDGFRA SIX1 INSIG2 COLEC10 CTNNB1 GRHL2 TGFBR2 TBX1 NOG TWIST1 NDST1 WNT9B MMP16 CRKL SIX2 PRRC2A CETN3 H2BC21 PAPOLB OR11H2 SLC6A16 HERC2 SLC7A4 SLC5A5 ZNF43 CTAG1A TAS2R8 OR52E6 CDC6 IPO4 OR4D2 RNF135 OR5P3 SERPINI2 NFX1 ZNF2 EMC2 HNRNPLL ZNF431 LMAN2L CYTH4 CD1B TARS2 WFDC3 HNRNPA0 STK39 THOC7 ALPI TBC1D3E VTCN1 PROM2,THUMPD1 LMNB2 OR1L3 DESI1 STX19 MAN1A1 PRRT2 FAM111A IQCH SEC24A CD207 MAP10 RBL1 PRELID2 OTUD4 ENDOU GMPPB RPL39L IL17RB DNAJC13 CRNKL1 SF3A1 ATP6V1G3 ETHE1 SORBS1 TMEM207 RETSAT RNF144A CARNMT1 MAGEB17 TASOR2 OGFOD1 APOBEC3B POLR3H ANAPC1 KLF17 MRPL54 RANBP3 CYCS OSBPL11 USP38 SPACA7 INCENP OR6K3 ZNF768 HLA-DRB3 GARIN5A RHD ZNF286A CLPTM1L CD300LF ANO8 CASP1 NACAD DNAJC25 SLC12A7 NIM1K SLC2A8 RIPOR1 SRSF3 BLMH ERMARD AMACR ATP13A1 MXRA5 STAR KCNJ2 MUC12 SYNGR1 HASPIN PAN2 PABIR1
GO:0019585,DCXR UGT1A9 UGT2B7 PRKCE UGT1A7 UGT2A3 SORD UGT1A10 UGT1A1 UGT1A3 UGT2A1 UGT1A5 XYLB CRYL1 UGT2B4 AKR1A1 UGT2B15 UGT2B17 UGT2A2 UGT2B28 UGT1A6 UGT2B10 UGT1A8 UGT1A4 UGT2B11 ABHD10,26,glucuronate metabolic process,AKR1A1 DCXR UGT2A1 UGT2B7 UGT2A2 UGT2B28 UGT1A3 UGT2B17 UGT1A5 PRKCE UGT2B15 SORD UGT1A1 CRLF3 SLC2A3 MRPL38 KLRB1 CNST TRPA1 B3GALT2 RADX OCRL LLGL2 MAGEF1 MEIS1 SLC7A3,SLC6A1 YLPM1 FIRRM RHEX NAA25 NSMCE1 CLDN7 NDUFA7 IDH3B FOCAD PHF13 HOXB5 LRRC32 TMEM215 RAET1L RRBP1 ATP5PB STMP1 KRT4 TRIM24 PRAMEF20 PEX14 RAN CSE1L C9 ATP8A2
GO:1902267,AZIN1 OAZ2 OAZ1 AZIN2 OAZ3,5,regulation of polyamine transmembrane transport,AZIN1 OAZ1 ID2 ZNF573 ZC3H12A,IL16 KPLCE PRMT1 NLRP1 RBP2
GO:0019748,BDH2 CYP2A7 AKR1C1 ACMSD ATP7A ASIP DDT CYP3A4 CYP1B1 CYP1A1 APPL1 AKR1B1 MC1R AKR1C3 CYP1A2 UGT1A7 OCA2 CYP2W1 CDH3 WNT5A SULT1C4 CTNS CITED1 AKR1C4 TYRP1 DCT FMO2 AKR7A2 ARL1 TRPC1 SLC7A11 CYP2A13 TH AKR1B10 AS3MT CYP2A6 RAPGEF2 ZEB2 CBR4 N6AMT1 OPN3 AKR1C2 SLC24A5 RAB38 GIPC1 BCL2 MFSD12 NFE2L2 AKR1A1 TYR UGT1A8 SLC45A2 CYP2D6 PMEL CYP3A5 FMO1,56,secondary metabolic process,AKR7A2 FMO1 UGT1A8 APPL1 WNT5A SULT1C4 ACMSD MFSD12 SLC45A2 CYP3A5 ASIP BDH2 AKR1C4 OPN3 CYP2A13 ARL1 SLC24A5 AKR1A1 UGT1A7 CYP2A6 CDH3 TYRP1 ZEB2 TH CYP2W1 CTNS CYP2D6 CYP2A7 TM9SF3 MS4A10 LRP1B MFRP CEP89 WFDC5 CCDC103 YIPF2 GPRC5D WFDC12 TBC1D2B CPNE5 DOCK2 TMEM106C DLGAP1 GCSAM SSNA1 MAIP1 LMBRD1 KIF9 ANKRD13B CELSR3 AP4S1 CST9 SPRR2A SLC39A7 SLC25A29 CXCR6,RUFY1 SURF6 LCE1B CABLES1 PCDHGA12 COBL SPACA3 PLEKHA2 RPH3AL FHIP1B H2AC7 ERAS KATNA1 ANKRD45 GPR22 PLEKHG4B PCDHA11 CPNE2 OR2A5 DSG1 GPR27 PAQR8 REG1B WDR44 SLC46A2 WBP1 COL5A2 CEP295NL TOMM5 OR4C46 KCNK16 SYT17 CACNA1C ANKS4B CCZ1B BIN3 STX11 ARMS2 ARL13A OR4N5 PNOC MATN2 CLCN1 TCN2 EFCAB9 ANKRD26 GABRG1 HAPLN4 KIR2DS5 OPN1LW AP3S2 OR5AC2 UNC93A CNGA4 ARHGEF10 LRFN1
GO:0006122,CYC1 UQCRB UQCRC1 UQCR10 CYCS UQCC3 UQCRQ UQCRHL UQCR11 CYTB UQCRH UQCRC2 UQCRFS1,13,"mitochondrial electron transport, ubiquinol to cytochrome c",UQCRC1 UQCRFS1 UQCC3 CYTB UQCRC2 CYCS SNAPC5 SLC7A8 RFTN1 CCDC103 ROR1 ZNF432 ATP5F1E,MFSD11 MARCHF7 TNNT3 MIGA1 PIERCE1 ABCA12 ZNF426 SNRPB2 CCNB3 RABL3 ZNF652 MPND PTPRN
GO:0030071,SPC24 TTK CDC6 PBRM1 MAD2L1BP SMARCB1 ANAPC5 FBXO5 HECW2 IK RIOK2 TPR ARID1A PCID2 TEX14 RAD21 ACTB KNL1 PLK1 SMARCD1 BUB1B GEN1 NSMCE2 SMARCD2 ARID1B CUL3 USP44 BCL7A SMARCC1 XRCC3 MAD1L1 HASPIN NEK6 MAP3K20 PSMG2 BCL7C SMARCC2 ACTL6A KNTC1 SPC25 SMARCD3 SMARCE1 ZWINT CCNB1 BUB3 SMARCA2 ESPL1 ARID2 ZNF207 ACTL6B ANAPC4 SPDL1 ATM BCL7B ANAPC11 CDC16 BRD7 PRAP1 ANAPC15 BIRC5 DUSP1 MAD2L2 DPF3 NDC80 MAD2L1 BUB1 CDC23 DPF1 PHF10 KLHL22 APC CDK5RAP2 RB1 DPF2 CDCA8 UBE2C INCENP SMARCA4 ZWILCH CENPE DLGAP5 CDC20 NUF2 LCMT1 TRIP13 AURKB CENPF DYNC1LI1 ZW10,89,regulation of mitotic metaphase/anaphase transition,NEK6 BUB3 ARID1A SMARCD1 ESPL1 MAP3K20 ZW10 TRIP13 ACTB BCL7C DPF1 ACTL6A ATM BCL7B ARID2 SMARCD3 DPF3 ANAPC4 SMARCC2 SMARCE1 SMARCD2 SPC25 SMARCB1 MAD1L1 DYNC1LI1 BCL7A SPC24 PBRM1 BRD7 INCENP CDCA8 CENPF CDC23 NUF2 APC SMARCA4 BUB1B TPR PSMG2 USP44 ZWINT DLGAP5 PCID2 KLHL22 KIAA1755 MESP2 ENOPH1 ARPP19 GRPEL1 PPM1E HMSD BIRC6 TRHR PTPN7 TMED7-TICAM2 N4BP2L2 TEAD4 ABCA5 PPEF2 ADORA2A UQCC1 ZNF567 PTRH1 WIF1 FAM3A PDE6D DUSP22 FOS LCE1F GLRB DYNC1LI2 EMP3 IPMK DIPK2A FBXL22 FLRT2 PTPRE PRAMEF7 PMCH TREML4 ZNF765 GRHPR SLC25A12 CEPT1 ERFE SLAMF9 CENPH RAX2 OR52W1,MPIG6B CLDN1 GPR26 CCL19 ADAMTS16 PGBD1 ZNF649 KPTN PREB BOC SYT8 PTGFR GRIN3A NANOS1 CDHR2 OR5B21 WHAMM OR14I1 TMOD4 SAT1 RAB6B EIF3E BCAP31 DPCD NPAS1 LPAR1 DENND4A PIK3CD SPMIP10 ATG2B MED18 NAXE SPAM1 FKRP ZDHHC22 HLA-G KLHL25 TMEM117 NOA1 CFD PGF IARS2 ZNF75A SLC26A11 HMSD LMO1 POLH IP6K1 ZNF660 LTA HAUS7 UHRF2 DLG2 GNL3 SKIL PPP1R3B ZNF658 MANBA ZNF430 LACRT ZEB2 YBX3 PSG7 GBP3 SKA3 RPS29 CD83 H3C8 PRMT8 ARL1 LCA5 POLR3A TTLL12 SPNS3 SULT1C3 CYBA OR1L6 TAS2R1 GRID2IP OR12D1 POLR1E GLE1 ARHGAP11B ATP5MG SNAP47 EXOC2 GPRC5A SP6 NXF1
GO:0090660,DNAH9 AQP4 CFAP221 DAW1 ODAD3 CFAP45 CFAP54 KATNIP JHY CCDC39 DNAAF11 CFAP43 SPAG16 ODAD4 NHERF1,15,cerebrospinal fluid circulation,CFAP54 CFAP221 AQP4 KATNIP ODAD3 JHY NHERF1 CEND1 LPL DYTN B3GNT6 NKX2-8 YBX2 NOTO LY96,TCEANC2 BUD23 MRPS23 PRX HTR1F PLOD1 NEURL1B TTC4 PCYT2 MAPK12 BANF2 TMEM18 PTX3 CHD1 KCNQ2
GO:0006754,PRKAG2 TREM2 ATP5MG ATPSCKMT NDUFS8 ATP5MC2 ADCY10 NDUFS5 DMAC2L ATP5MF NDUFB8 ATP8 SDHA NDUFS1 ANTKMT ND3 SDHD TMSB4X NDUFB10 ATP5F1C NDUFB7 ALDOA ND2 NDUFB2 NDUFA1 ATP6V1A NDUFAB1 COX11 ND4L NDUFB1 NDUFV3 ATP5PD NDUFA2 NDUFA8 ND6 FLCN IL4 NDUFB6 ATP5F1A NDUFB5 ATP5PO NDUFA13 ATP6V0C ATP6 NDUFV1 DNAJC30 ATP5MC3 PINK1 NDUFA6 PPARGC1A ATP5F1B ND1 NDUFS2 TAFAZZIN NDUFA11 ND5 NDUFA7 NDUFS6 ND4 ENO1 SLC25A13 ATP5PB NDUFV2 LDHC SPHK2 PARP1 VPS9D1 UQCC3 NDUFA9 ATP5ME TGFB1 NDUFA12 NDUFB9 NDUFS7 NUDT2 ATP5MC1 ATP5PF NDUFB4 NDUFS4 PID1 ATP5MGL NDUFS3 SDHC ATP5F1E NDUFA3 VCP ATP5MJ ATP5MK NDUFA10 ATP5F1D SDHB NDUFC2 NDUFB3 PPARA NDUFB11 LIPA NDUFC1 STOML2 NDUFA5,99,ATP biosynthetic process,NDUFA5 COX11 PRKAG2 ATP5F1D VCP NDUFB1 PINK1 ATP5PD PPARGC1A ALDOA ATP5F1C NDUFB4 ND4L ADCY10 NDUFC1 NDUFA3 ENO1 ATP5MG TAFAZZIN SPHK2 NDUFB8 NDUFB6 NUDT2 NDUFB3 PPARA SDHC DNAJC30 ATP5MC3 NDUFC2 ATP5F1B NDUFB10 ATP8 NDUFV3 ATPSCKMT NDUFA7 ATP5PB NDUFA12 ND3 PARP1 NDUFA1 UQCC3 STOML2 SLC25A13 NDUFAB1 VPS9D1 NDUFA11 NDUFV2 NDUFS2 ATP5MC2 SLC25A45 MCRS1 SULF2 HECA IFNGR2 LIPT1 GALE FOXC1 ZNF677 PARP9 BUB3 TSPY1 A2M TBX22 OTUD6A HSD17B7 AUTS2 IGFBPL1 IGSF9 ECH1 GSTT2B DEFA5 NOP56 NUDT19 OXSR1 TFIP11 VAPB MBOAT1 TP53 TIMP4 RNASE13 PDE11A CYP4Z1 CD8B MYO1B CEP192 RBM39 AQP12B DARS2 ARL4A APLN UQCR11 LINC02210-CRHR1 MGST3 KDM4B KATNIP RCN1 CHTF18 STH C12orf43,FCGR1A MDGA1 PPIF PDE6C PCCB FBLN1 ABI2 SHC3 MRC2 ARFIP1 GALNT8 CUZD1 WDR81 RANBP3 CISD2 ATAD3B PRKAR1A ACBD4 WDR1 DKC1 HADH PTPN23 PRPF3 HNRNPR TTLL6 NCKAP1L NPY5R SPACA5 PTN CLDN10 ACYP1 MTUS1 ZYG11B RBP2 TET1 VPS37D SLC25A47 CACNA2D2 OR7E24 LHX4 NCOA7 SYT13 SOAT1 F2 NCOA2 FIBIN OR6C3 OR5K2 NTMT2 MEAK7 CCNE1 RPLP1 KNG1 OVOL2 IFNL1 AKAP1 SLC17A3 ZNF275 VPS41 NLGN2 THAP5 SRP68 PRICKLE1 ZNF285 CCDC154 ADGRE1 STAM RELL1 UPB1 SSX3 EDN3 ZBTB40 FER1L6 GP6 DNAH14 PITRM1 GAL3ST1 IDI2 ASPDH RBM4B XRCC4 TLCD1 ZNF768 DOCK5 USP15 STXBP5L ZNF792 SIX2 ARHGAP4 ZKSCAN4 LRRN4 NFIX P3H1 SLC25A33 ITPR1 TEKT2 SAGE1 ZNF622 TAS2R13
GO:0043615,NR2E1 HEXB GPR183 CCL3 SCRIB CCL2 MMP14 APCDD1 CCR2,9,astrocyte cell migration,NR2E1 SCRIB APCDD1 GPR183 GCGR ADAMTS4 PTPN3 COL13A1 SLC39A12,EVI5 PARN AGMAT OVGP1 SLC5A6 APOB CIPC GPD2 TMC6
