GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0061740,HSPA8 LAMP2 CLU,3,protein targeting to lysosome involved in chaperone-mediated autophagy,CLU CFTR ZNF780A,MPST SPOP EEF1AKMT4-ECE2
GO:0045056,LRP1 PICALM CLTC USO1 VPS35 FCMR RAB5A AGER IGF1R MFSD2A PIGR GP2 RAB11A RAB17 LRP2 LRPAP1 GPIHBP1 FCGRT SRC RAB11B PTAFR,21,transcytosis,CLTC VPS35 FCGRT PTAFR RAB11B USO1 LRP1 LRP2 LRPAP1 RAB11A TRIR SLC44A2 TM4SF4 RPS6KL1 MUTYH COX20 PSG8 RMC1 PLAGL1 RAP1GAP2 SBK3,CDC42BPB RANBP2 SRSF5 NUP98 LMF2 ZNF567 CLDN10 ZNF644 MRGPRX1 DSEL GPRC5D ECHS1 SQOR ZNF555 ZSCAN32 BORCS7 CPSF7 CSDC2 PRAMEF1 C6orf120 CTTNBP2
GO:0141085,PPP2CA CD36 MARK4 CPTP TREM2 TLR6 ATAT1 FBXL2 IRGM PYDC5 MEFV MYD88 PRKD1 TRIM31 TRIM11 GBP5 SIRT2 PLCG2 MAPK8 EIF2AK2 GBP2 MAVS PYDC1 CSNK1A1 ZDHHC12 PYDC2 USP50 BTK PTPN22 STMP1 DDX3X NLRC3 HSPA8 NEK7 NLRP2B CARD8 TLR4 DHX33 BRCC3,39,regulation of inflammasome-mediated signaling pathway,PYDC2 BRCC3 USP50 MAVS IRGM PYDC1 GBP2 ZDHHC12 TREM2 NLRC3 NEK7 NLRP2B CPTP GBP5 DDX3X SIRT2 CD36 STMP1 HSPA8 EPX CDKN2C CCSAP NDUFAF6 ZNRD2 OR6C3 PRDX3 HS3ST2 BCL2A1 FEV PLCB2 PPP4R3B PRSS55 SPICE1 CNTNAP2 TWSG1 ZYX COLEC11 SFTPB RNF44,ENPP1 TUBA3C ZNF280C OR9Q1 CCDC78 UGDH MIXL1 WWTR1 JARID2 SALL4 UST LRRCC1 SPC25 RAD17 ZNF404 HRK ANKRD33 CYP2J2 UBAP1 PCCA AP5S1 RNF150 PPM1K ENDOU NOL9 OR13C5 UQCRC1 KLRC1 EPS15 PPP1R2 TAOK1 ZNF589 ODF2 NMU TUBA4A CLEC4A TAAR2 ZNF232 ZNF614
GO:0036148,CRLS1 SERAC1 PLA2G4D PLA2G4F LPGAT1 LPCAT4 PLA2G4B JMJD7-PLA2G4B LPCAT1 PLA2G2F,10,phosphatidylglycerol acyl-chain remodeling,JMJD7-PLA2G4B LPGAT1 PLA2G2F PLA2G4F CRLS1 GUCY2F STEAP2 NTS ADAMTS9 KCNE5,MRPL21 TCIRG1 ELOVL1 HSF4 CHST13 TSSK1B CYP4B1 SPIC ZNF710 ZNF616
GO:1901797,MIF SIRT1 TWIST1 DYRK1A MUC1 ARMC10 MARCHF7 CD74 TAF9 DYRK3 PTTG1IP ING2 CD44 RRN3 YJU2 KDM1A ATAD5 RRM2B SNAI2 RFFL TRIAP1 TAF9B BDKRB2 MDM2 BCL2 ELL3 RNF34 ZNF385A NOP53 SNAI1 PRKN HAPSTR1 PSMD10,33,negative regulation of signal transduction by p53 class mediator,MDM2 CD74 SNAI1 MUC1 TAF9 PRKN SNAI2 RNF34 HAPSTR1 BCL2 TAF9B YJU2 MIF ZNF385A ATAD5 BDKRB2 MAB21L1 HMGN2 UNC5CL CDHR4 SPANXA2 ACSM5 GPD2 OPRPN PRPF39 SF3B5 LCAT YIPF3 IFRD1 FCGRT AP3B2 HSPB7 PMPCA,MND1 HSD17B12 CCNB1 PRAMEF20 PIWIL4 TPPP PDE6D KAT2A OR2M3 TUBB6 TCL1A NARS1 OCA2 UNK ABCA6 BCL7B MAP10 LCE3D TTLL9 SNRPB AJM1 CEACAM1 EZH2 RNF111 CEPT1 SKIDA1 DUX5 ZNF28 ANGPTL4 ZNF514 LCORL OR4K13 PRPF38B
GO:0014896,IGFBP5 NOTCH1 PARP2 NR4A3 ADCY10 LMCD1 CAMK2D GATA6 EZH2 HDAC2 ATP2B4 TNFRSF1A SLC9A1 COL14A1 P2RX4 MYH7 AGT MYH6 PPP3CA PRKG1 PAK2 SMAD3 PDE9A MEF2A MYOC BMP10 GATA4 LMNA LEP IGF1 AKAP6 RYR2 KDM4A TRIM63 HEY2 GSK3A ROCK1 ADRA1A MTPN CAMTA2 TWF1 GLRX3 INPP5F PPARG MYMK MEIS1 TRPC3 FOXP1 NPPA TOMM70 ROCK2 HTR2B IL6ST YY1 MAP2K4 PDLIM5 EDN1 FOXO1 ACACB G6PD MSTN TNFRSF1B TIAM1 PARP1 BECN1 HAND2 MLIP CSRP3 TCAP ATP2A2 GATA5 TTN RGS2 PDE5A RAP1GDS1 PPARA CAV3 CTDP1 PRKCA KLF15 SMAD4 CYBA SORBS2 RGS4 PI16 JARID2 HDAC4,87,muscle hypertrophy,JARID2 COL14A1 SMAD3 MEF2A RAP1GDS1 HDAC4 CYBA FOXP1 IGFBP5 TIAM1 TRIM63 IL6ST ROCK1 GSK3A LMCD1 PAK2 INPP5F PRKG1 MYH6 CTDP1 TWF1 NPPA EDN1 GATA6 LMNA MTPN PDLIM5 MYH7 GATA5 BMP10 CSRP3 LEP ADRA1A MEIS1 PPARG SORBS2 YY1 MYOC RYR2 BECN1 TOMM70 PDE9A RGS4 ARPC3 EPB41L5 OAS3 NOBOX ANKRD13B ABCC3 TMEM51 KITLG TLR8 HIF3A KIF26B GPR89A WDR24 SGCG GABRR2 ART4 RD3 ERP44 NUMBL H2BC17 HSPA13 BCLAF3 SNRNP25 GSTM3 LILRA4 MAGOHB AVPI1 TOMM22 TP53I13 NR3C2 CENPQ TOB2 TMEM91 REG1A AFG3L2 CRNN RFTN1 MMP15 WAPL PLOD3 ADAMTSL5 IL1RAP CISD3 PDZRN3,TRPM3 FOXK2 RBBP6 LXN CNTNAP5 MSN ORAI3 SLC7A9 OR5B21 TYW5 SLCO1B3 STARD4 KSR2 MBD3 EPHA4 MAD1L1 NOG CHAMP1 PKM MAPRE1 KCTD16 SHISA9 WNT3 SFXN4 ARRDC5 DDX54 UQCC3 SYT1 PAIP2 CSRP2 HDHD5 CCDC63 CRB2 MOB3C NANOS3 ERP29 FLOT1 MIER1 CEP131 DTD1 TTC3 FGF17 HMMR CMTM3 MAGEF1 AMY2A MAGI2 DIO1 TMEM161A DHFR2 PLRG1 HS3ST3A1 ARMC5 ENSA TNS3 PIGS CLDN22 CCDC62 LRPPRC OTOP3 RMI1 NDFIP1 CCNH ST8SIA2 DNHD1 YIF1A BAAT ITSN2 CRNKL1 TRPV6 OR7C2 RPS6KA3 TMEM80 CD8B CBX8 AXDND1 CLEC4E PRSS16 NR1D1 OR7E24 ARMH4 SLC31A2 LIMCH1 QPCTL ST3GAL4 AIP SLC35A1
GO:1903025,DDRGK1 ZNF593 HAND1 DAZAP2 DDIT3 LAMTOR5 NSD1,7,regulation of RNA polymerase II regulatory region sequence-specific DNA binding,LAMTOR5 ZNF593 HAND1 CPNE2 PAK1IP1 TYW1B BCAT1,ZFAND2A RXYLT1 NIT2 INPP5J SPAG4 OR2AK2 TAF9B
GO:0043406,ADRA2A TLR6 CCL19 TRAF6 DAB2IP TAOK3 TRAF2 IRAK1 EGF EZH2 DIRAS1 DUSP19 IL1B GHR MAP3K10 PDGFA TPD52L1 DRD4 FGF18 EPGN PAK1 DIRAS2 TNFSF11 S100A12 SASH1 DVL2 RPS3 PDGFRB FGFR1 TNFRSF11A TNF GH1 INSR RASGRP1 MAP3K13 FLT3 PIK3CG NTRK3 PTPN1 PDCD10 THBS1 MAP2K7 MST1R MAP3K5 HTR2B FLT1 EDN1 PDGFB PDGFC NTF3 LRRK2 MAP2K5 CD24 PIK3R5 EDN3 MAP3K11 PDGFD FGF1 IL34 HRAS KIT ERN1 MAP3K12 NEK10 ELANE MAP3K4 WNT5A CD40 MAP4K2 PLA2G1B MAP3K7 TENM1 VEGFA ROBO1 ERP29 CRIPTO ARHGEF5 FGF2 ADAM9 PIK3R6 ERBB2 TLR4 EGFR,83,positive regulation of MAP kinase activity,TRAF6 DAB2IP KIT EZH2 PTPN1 WNT5A TLR4 MAP3K4 NTF3 ERP29 ADRA2A IL1B DIRAS2 EDN3 FGF18 PDGFD PDGFA CRIPTO EGFR ERBB2 RASGRP1 PIK3R5 ROBO1 TPD52L1 FLT3 GHR FLT1 DIRAS1 MST1R THBS1 DUSP19 TENM1 TRAF2 PIK3CG MAP3K12 PIK3R6 DRD4 TAOK3 LRRK2 PLA2G1B INSR ZNG1E AGK DGKA OR10A3 TSN ELOA2 TTR ST6GALNAC6 TUBB6 AHCYL2 MYO6 FAM47E CFAP206 HMX2 TMEM88 PPP2R1A TM7SF2 MAP2 ND4L LSM10 PTH1R MCU CCDC88A USP33 CEP192 METTL6 SLX9 ANXA11 DLAT PPFIA3 NOVA1 ITIH2 DIS3L2 VSTM1 IGBP1 ARHGAP11A EXD3 SLC7A7 SERTAD2 RPL18A IFITM5 IVD,KIFC1 EFL1 PCDHGC4 LRFN4 TIE1 S1PR3 GALNT7 ASTN2 POLR2K ASXL2 DLX3 CDH7 NTF4 PDPK1 RNF167 DUSP9 CDC37 MOCS3 ACTG1 PRDM14 GRIK2 RHOBTB3 RFPL4AL1 CIB3 INSRR F2 KCNJ4 NID1 ARHGAP15 GATA5 VPS4A BAZ1B SLC35D1 KIF14 AIP SLPI PERM1 HK1 ACSM2B RNF4 SCAMP2 TGDS STXBP2 OXCT2 INTS3 SETDB1 GALNT10 KRTAP4-5 SLC25A31 USP19 RASEF HSPB1 CA10 TAS2R16 CCDC80 SCN4A FER1L6 GTSF1 SEC22A HROB CCR8 TFF1 GRN IFNL2 RTN4RL2 ITGAE MRC1 KCNK15 EEF1AKMT4 MTBP RAPH1 GPR12 PPM1H PLIN2 MTO1 RPLP0 VPS54 NCAPH2 SMPD2 PWP1 TAF7L UBE2U ETV4
GO:0071459,TTK H4C2 H2BC11 CENPA SPDL1 H4C15 H4C6 CHAMP1 H4C13 H2AC4 IK H4C16 H4C5 H4C12 HASPIN RB1 SMC5 MTBP TRAPPC12 H4C8 CDK1 CENPQ H2AC8 CTCF H4C3 ZWILCH KNTC1 RCC2 AURKB H4C9 KNL1 BOD1 ZW10 BUB3 JARID2 BUB1B,36,"protein localization to chromosome, centromeric region",H4C2 SPDL1 H4C3 H4C13 IK BUB1B H2AC4 AURKB CDK1 H2BC11 CTCF CHAMP1 H2AC8 ZWILCH RCC2 H4C5 JARID2 KNTC1 LRP11 FGL1 C19orf33 TLK2 DNAJC9 PLG LRRC69 PKMYT1 DCAF12 PAM SSH3 FSTL1 DNAJC27 NAGLU TSPAN3 LEAP2 FIP1L1 MT1E,TCF20 GIT2 HSBP1 ODAD3 COL26A1 RNF149 EI24 IRF6 WDR90 GPATCH3 NCBP3 REEP3 MTM1 CCN1 PPP2R5D MRPL32 NOXA1 RAB3IL1 LGSN ZNF33A CSTF3 HCFC2 DEFB132 LIAS DYRK1A AGO1 NRG2 MTRES1 MED10 PPIC ZDHHC6 PYM1 NALF2 NAA35 SPRY1 AMELX
GO:0072734,CASP6 CASP3 SLC34A1 CASP7,4,cellular response to staurosporine,CASP6 CASP3 CALD1 MAB21L1,PIP5KL1 ARHGAP1 NPIPA1 ADPRS
