GO,Genes,Gene_Count,Term_Description
GO:0048627,MEGF10 SDC1 WNT10B SOX15,4,myoblast development
GO:1904888,CPLANE2 NEUROG1 GRHL2 TGFB3 EXT1 TGFBR2 TWIST1 EDNRA WDR19 MED12 TGFB2 PAX5 NDST1 FOXE1 EIF4A3 RAB23 DCANP1 TP63 WNT9B TFAP2A IFT140 GLI3 PDGFRA ZIC3 INSIG1 MMP16 CHST11 CTNNB1 NIPBL INSIG2 IRX5 NOG SIX2 TBX1 TGFBR1 RIC1 COLEC10 TIFAB FOXN3 FGFR2 RDH10 CRKL TMEM107 FOXC2 SLC39A1 SMAD2 SIX1 FREM1 RUNX2 SIX4 MTHFD1 GNA11 IRF6 MTHFD1L LHX1 NODAL PRRX1 BMP4 MSX2 TULP3 MEGF8 FGF8 CEP55 SMAD3 MMP14 SETD2 TBX15 DLX2 HOXA2 FGF4 SLC39A3 HOXA1,72,cranial skeletal system development
GO:0019585,DCXR UGT1A9 UGT2B7 PRKCE UGT1A7 UGT2A3 SORD UGT1A10 UGT1A1 UGT1A3 UGT2A1 UGT1A5 XYLB CRYL1 UGT2B4 AKR1A1 UGT2B15 UGT2B17 UGT2A2 UGT2B28 UGT1A6 UGT2B10 UGT1A8 UGT1A4 UGT2B11 ABHD10,26,glucuronate metabolic process
GO:1902267,AZIN1 OAZ2 OAZ1 AZIN2 OAZ3,5,regulation of polyamine transmembrane transport
GO:0019748,BDH2 CYP2A7 AKR1C1 ACMSD ATP7A ASIP DDT CYP3A4 CYP1B1 CYP1A1 APPL1 AKR1B1 MC1R AKR1C3 CYP1A2 UGT1A7 OCA2 CYP2W1 CDH3 WNT5A SULT1C4 CTNS CITED1 AKR1C4 TYRP1 DCT FMO2 AKR7A2 ARL1 TRPC1 SLC7A11 CYP2A13 TH AKR1B10 AS3MT CYP2A6 RAPGEF2 ZEB2 CBR4 N6AMT1 OPN3 AKR1C2 SLC24A5 RAB38 GIPC1 BCL2 MFSD12 NFE2L2 AKR1A1 TYR UGT1A8 SLC45A2 CYP2D6 PMEL CYP3A5 FMO1,56,secondary metabolic process
GO:0006122,CYC1 UQCRB UQCRC1 UQCR10 CYCS UQCC3 UQCRQ UQCRHL UQCR11 CYTB UQCRH UQCRC2 UQCRFS1,13,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0030071,SPC24 TTK CDC6 PBRM1 MAD2L1BP SMARCB1 ANAPC5 FBXO5 HECW2 IK RIOK2 TPR ARID1A PCID2 TEX14 RAD21 ACTB KNL1 PLK1 SMARCD1 BUB1B GEN1 NSMCE2 SMARCD2 ARID1B CUL3 USP44 BCL7A SMARCC1 XRCC3 MAD1L1 HASPIN NEK6 MAP3K20 PSMG2 BCL7C SMARCC2 ACTL6A KNTC1 SPC25 SMARCD3 SMARCE1 ZWINT CCNB1 BUB3 SMARCA2 ESPL1 ARID2 ZNF207 ACTL6B ANAPC4 SPDL1 ATM BCL7B ANAPC11 CDC16 BRD7 PRAP1 ANAPC15 BIRC5 DUSP1 MAD2L2 DPF3 NDC80 MAD2L1 BUB1 CDC23 DPF1 PHF10 KLHL22 APC CDK5RAP2 RB1 DPF2 CDCA8 UBE2C INCENP SMARCA4 ZWILCH CENPE DLGAP5 CDC20 NUF2 LCMT1 TRIP13 AURKB CENPF DYNC1LI1 ZW10,89,regulation of mitotic metaphase/anaphase transition
GO:0090660,DNAH9 AQP4 CFAP221 DAW1 ODAD3 CFAP45 CFAP54 KATNIP JHY CCDC39 DNAAF11 CFAP43 SPAG16 ODAD4 NHERF1,15,cerebrospinal fluid circulation
GO:0006754,PRKAG2 TREM2 ATP5MG ATPSCKMT NDUFS8 ATP5MC2 ADCY10 NDUFS5 DMAC2L ATP5MF NDUFB8 ATP8 SDHA NDUFS1 ANTKMT ND3 SDHD TMSB4X NDUFB10 ATP5F1C NDUFB7 ALDOA ND2 NDUFB2 NDUFA1 ATP6V1A NDUFAB1 COX11 ND4L NDUFB1 NDUFV3 ATP5PD NDUFA2 NDUFA8 ND6 FLCN IL4 NDUFB6 ATP5F1A NDUFB5 ATP5PO NDUFA13 ATP6V0C ATP6 NDUFV1 DNAJC30 ATP5MC3 PINK1 NDUFA6 PPARGC1A ATP5F1B ND1 NDUFS2 TAFAZZIN NDUFA11 ND5 NDUFA7 NDUFS6 ND4 ENO1 SLC25A13 ATP5PB NDUFV2 LDHC SPHK2 PARP1 VPS9D1 UQCC3 NDUFA9 ATP5ME TGFB1 NDUFA12 NDUFB9 NDUFS7 NUDT2 ATP5MC1 ATP5PF NDUFB4 NDUFS4 PID1 ATP5MGL NDUFS3 SDHC ATP5F1E NDUFA3 VCP ATP5MJ ATP5MK NDUFA10 ATP5F1D SDHB NDUFC2 NDUFB3 PPARA NDUFB11 LIPA NDUFC1 STOML2 NDUFA5,99,ATP biosynthetic process
GO:0043615,NR2E1 HEXB GPR183 CCL3 SCRIB CCL2 MMP14 APCDD1 CCR2,9,astrocyte cell migration 
