GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0045940,STAR WNT4 ADM APOE CES1 STARD4 NR1D1 TNF FSHB BMP6 CGA APOA1 SCAP PRKAA1 IGF1R SREBF2 IL1A FGF1 LDLRAP1 ABCG4 IFNG CYP7A1 DAB2 SREBF1 ABCG1,25,positive regulation of steroid metabolic process,WNT4 IL1A FSHB DAB2 IFNG ABCG1 APOA1 STAR CGA STARD4 CYP7A1 IGF1R ZFP92 PAX8 TP53TG5 NRBP1 EMSY CTAGE6 CNST POMZP3 PID1 ATAD3B SEMA3E PLSCR3 PSME3,OR4D10 PGLYRP2 CLCA4 CEP78 IL2 BEST1 KLHL15 HMGB2 ANKRD49 GFAP UIMC1 AJUBA GPR89B HS1BP3 CPLX3 TEN1 ANXA8 KLHL12 TMEM39A ZNF746 GBP2 CHST8 CACNA1G UQCR11 CHTF18
GO:0010757,PLAU CTSZ THBS1 SERPINF2 SERPINE1 SERPINE2 CPB2 PLAT,8,negative regulation of plasminogen activation,CPB2 SERPINE1 PLAU THBS1 MVB12A LRRC58 LDHAL6B OXSM,HOXC6 PLLP B3GNT2 TCP11X2 DEFB121 FLAD1 PGAP6 FOXG1
GO:2000136,GNG5 TBX5 ISL1 RBPJ CTNNB1 NOTCH1 SMAD4 EYA1 BMP10 SOX9 HES1 ENG MKS1 SIX1 TBX3 HAND2 PIM1 BMPR2,18,regulation of cell proliferation involved in heart morphogenesis,MKS1 BMP10 EYA1 SMAD4 HAND2 GNG5 RBPJ SIX1 ENG TFR2 BUD13 SIPA1 OR10A4 LBX2 MTNR1A MORC1 HIGD1A ITGA11,GPR179 SLC22A15 NDUFS5 SPNS1 TNFRSF25 WFDC5 C1S TAS2R10 STT3B YY2 NDUFV2 ITSN1 EIF1AD UGT1A5 NUP43 ATP13A1 ZNF555 KRTCAP2
GO:0002433,PLPP4 LYN PRKCE APPL1 PRKCD FYN VAV1 YES1 MYO1G PLA2G6 LIMK1 VAV2 PTK2 HCK APPL2 ABL1 VAV3 PLD2 FGR SYK SRC PAK1,22,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,ABL1 VAV3 APPL2 LYN FGR SYK PRKCE PRKCD PLPP4 HCK SRC ADGRL3 CPSF6 KISS1 ST6GALNAC4 CCL7 UBE2Z RAI1 PGD MAP2K1 CERS6 LOXL2,ADGRE1 FBXO28 MUC1 ENPP2 UBE2U ZC3H8 DEFB114 CXCL12 USP46 ADAMTS1 CALCRL TRIM35 CSNK1A1L GABBR1 CFAP46 TBC1D21 DACT3 PDF NRGN FOLH1 CSH1 CUL4B
GO:1990874,DBH NF1 ERN1 MMP2 HPGD IGFBP5 TGFB3 DDIT3 MAP3K5 PDCD4 CDKN1A FOXJ2 RBM10 NR4A3 CDKN1B MYOCD TERT IGF1 EDN1 SOD2 PTEN PDGFB CNN1 TNF GPER1 MAP3K7 FRS2 NDRG2 CALCRL IL10 MEF2C POLDIP2 HTR1B FGFR2 EFEMP2 TPM1 FGF9 BMPR1A ADAMTS1 GNAI2 GNA12 DDR2 LDLRAP1 MDM2 APLN MEF2D ADIPOQ DNMT1 JUN JAK2 PPARG PRKG1 FGF2 MFN2 BMP4 GNA13 TAFA5 SRC MMP9 P2RY6 GJA1,61,vascular associated smooth muscle cell proliferation,MAP3K7 PDGFB HPGD CDKN1A IGFBP5 EFEMP2 FGF9 TGFB3 IL10 MYOCD NDRG2 DNMT1 MEF2C EDN1 POLDIP2 DBH TPM1 P2RY6 NF1 DDR2 MEF2D JAK2 PRKG1 BMPR1A MMP9 APLN ERN1 MFN2 CDKN1B ADAMTS1 SLC2A3 ZNF385A GPR152 MUC20 ZNF385B PLEKHM3 PPA2 FUS KIF12 ABCA12 ACTR3B DEFB1 TERF2IP GPC6 ENTPD5 CLTA PCDHGA11 ZC3H11A ACAT2 CFAP410 DCHS1 AUH MYOC FOSL2 GREM1 FPR2 GAA HERC1 AHCYL1 NFKBIL1 PABPN1L,CD1E NAALADL2 YTHDF3 MID1 ARFGAP1 IQCN SPATA17 TONSL H1-5 RNF223 ASB2 LRRC8D ABHD17A CLCNKB PRKCQ CD276 GPLD1 GXYLT1 BCL9L UBE2NL NRSN2 UNKL ANO7 RAD23B FBXW10B TTC27 MRPL4 OR2T5 ABCC3 H2AC1 TMEM18 TSPAN33 KCNMB2 SLC3A1 CERS3 ARL6IP1 JAZF1 HIGD1A TCIM RIPK1 HELLS CTSS TRAM1 ZNF93 SLC26A6 PALM3 PDZK1 SENP8 MATN2 GREB1 CSRNP1 ENTPD2 OGFR VPS18 PIGH MMP19 SEMA4B RABGGTB FKBP7 PTS OR52L1
GO:0002792,ADRA2A KCNB1 SFRP1 IRS1 GHSR CRH LEP CD74 PFKL REST FFAR2 HADH UCP2 VSNL1 KCNJ11 FOXO1 KLF7 CRHBP GNAZ PSMD9 FKBP1B ACVR1C MIDN MTNR1B CCN3 SIRT4 DRD2 GHRL NDUFAF2 JAGN1 SYTL4 F2RL1 PPP3CA ABCC8 CARTPT PIM3 PTPN11 FFAR4 PRKN INHBB CHGA SREBF1 FAM3D ENY2 PDE8B BMP8A,46,negative regulation of peptide secretion,ADRA2A PPP3CA FOXO1 CHGA SFRP1 SREBF1 FAM3D LEP PDE8B DRD2 FFAR4 UCP2 BMP8A PIM3 CD74 CCN3 MIDN INHBB SYTL4 CARTPT SIRT4 PRKN PFKL ITM2B XK ZNF43 SEPTIN10 KAT5 NFAT5 DOC2A PLCG1 SLC9A8 SGPL1 TRAK2 SLC22A15 NUDT21 CYYR1 SUFU KRT40 KLHL2 IFNA17 DSPP ERRFI1 SUSD6 CDIPT KLC3,DCUN1D1 CALCA TMEM187 ERCC1 ZNF285 NUDT18 LAMB1 CTSK CPM CARD19 DUSP7 TNFAIP8L2 RGN OR2T35 AJUBA SOX8 BCORL1 GNGT1 IFI27 AK8 APAF1 ATP6V1C2 ZNF607 H2BC12 MFSD11 UBXN8 SH3BGRL3 KLK6 KCNJ3 PCBP2 ISG20 ADAM8 RALGPS1 OR52A5 DYNLT2 GATAD2A SNRNP27 EIF2S3 BCL2L10 ZNF550 CRYL1 FANK1 KRT82 TRMT1 KIF2A ESRP1
GO:1900368,PUM1 MAEL TIAL1 RIPK1 TP53 FXR1 BCDIN3D FMR1 ADAR ZC3H10 DGCR8 DND1 TRUB1 PUM2 ZMPSTE24 LIN28B STAT3 MECP2 ELAVL1 TRIM71 IL6 ZFP36 BMP4 LIN28A TGFB1,25,regulation of post-transcriptional gene silencing by regulatory ncRNA,BMP4 ZMPSTE24 MAEL PUM2 ELAVL1 ZFP36 LIN28B IL6 TIAL1 TGFB1 FMR1 RIPK1 DOK7 MAN1A1 DNM1L REPS2 ALG1L2 MRPL43 VWA7 PRAME SAMSN1 ITPRIP EXOSC4 ZSCAN18 TSPO,ACTN1 SLC7A6 SURF2 TAOK1 DPAGT1 TNF PDHA1 ACTR3C TRIM17 ZNF99 PTPN21 MTNR1A PPP3R2 CFAP36 CCL13 ATP5MC2 MUC6 ZNF860 PRPF8 TMPRSS11E ANKRD40 FUT4 AGPAT4 SERPINA1 RBPJ
GO:2000524,LILRB2 LILRB4 CD160,3,negative regulation of T cell costimulation,LILRB4 MTBP HDHD5,TBC1D3E KIRREL3 PRSS57
GO:2000556,IL18 ARID5A TBX21 SLAMF1 IL1R1 IL1B XCL1 IL18R1,8,positive regulation of T-helper 1 cell cytokine production,IL18 XCL1 SLAMF1 IL1R1 METTL15 LIN28B ICAM4 C2CD5,TLK2 SLC26A5 PPP2CB CLRN1 TGM4 PCDHA9 CDX4 OPA1
GO:0120253,CYP2F1 BCO1 BCO2,3,hydrocarbon catabolic process,CYP2F1 PCSK7 ZDHHC17,DCC PAAF1 CRKL
