iteration,gene_set_size,go_term,genes,traditional_score,rag_score,score_difference,processing_time
0,5,GO:0034436,ABCG1 VLDLR SLC10A7,0.9,0.9,0.0,6.111936807632446
1,5,GO:0002384,IL6 IL6R,0.9,0.95,0.04999999999999993,6.063213109970093
2,5,GO:0002712,FCGR1A HLA-E FOXP3 C17orf99 LTA,0.92,0.95,0.029999999999999916,7.264977931976318
3,5,GO:0002266,FCGR2B BCL3 NFKB2,0.92,0.95,0.029999999999999916,11.780333995819092
4,5,GO:0090036,CD40 SPHK2 FLT4 DGKD WNT11,0.85,0.9,0.050000000000000044,6.65283727645874
5,5,GO:0000492,ZNHIT6 SNU13 NOPCHAP1 TAF9 PIH1D2,0.92,0.9,-0.020000000000000018,6.563062906265259
6,5,GO:0060718,DNMT3L HTRA1 MAP3K4 ASCL2 FZD5,0.85,0.9,0.050000000000000044,6.464594125747681
7,5,GO:0030003,GPR89A MT1B ADCY8 RASA3 GRM1,0.92,0.95,0.029999999999999916,6.1212098598480225
8,5,GO:0042474,OSR1 GSC EDNRA HOXA2 OSR2,0.92,0.9,-0.020000000000000018,7.371179103851318
9,5,GO:0043502,TRIM63 CAMK2B PRKCA CAMK2G AGT,0.9,0.9,0.0,6.452681064605713
10,5,GO:0032430,ANG AVPR1B PLA2G1B AGTR1 PLAA,0.92,0.85,-0.07000000000000006,6.129192113876343
11,5,GO:1903546,TULP1 BBS4 SPATA7 ZDHHC3 ROM1,0.92,0.95,0.029999999999999916,5.533231735229492
12,5,GO:0050770,KEL EIF4G2 TRPC5 TNR EPHB3,0.85,0.95,0.09999999999999998,4.853173017501831
13,5,GO:1905279,ARFIP1 EIPR1 PRKN USP7 RAB29,0.92,0.9,-0.020000000000000018,7.842772006988525
14,5,GO:0098792,WIPI2 LGALS8 CALCOCO2 ATG16L1 LRSAM1,0.92,0.95,0.029999999999999916,6.6065919399261475
15,5,GO:0006498,NMT1 NMT2 PPM1A HHATL HHAT,0.92,0.9,-0.020000000000000018,6.029284238815308
16,5,GO:0072133,BMP7 SMAD4 OSR1 MYC,0.85,0.95,0.09999999999999998,8.381891965866089
17,5,GO:0062100,AIFM1 PARP1 TSPO RIPK1 ZBP1,0.85,0.9,0.050000000000000044,6.4343578815460205
18,5,GO:0045665,FEZF2 JAG1 DDX6 ASCL1 MAG,0.9,0.95,0.04999999999999993,6.003798007965088
19,5,GO:0005988,LCT B4GALT1 LALBA,0.9,0.9,0.0,8.118119955062866
20,5,GO:0060054,FGF10 WNT7A JAML ODAM FZD7,0.85,0.9,0.050000000000000044,9.057551860809326
21,5,GO:0051412,AVPR1A FOS TH NPAS4 FOSB,0.85,0.9,0.050000000000000044,6.2899489402771
22,5,GO:0072584,UNC119 PACSIN2 NEDD4L CAV3 MAPK3,0.92,0.95,0.029999999999999916,7.239085912704468
23,5,GO:0051946,SLC17A8 ATP1A2 ITGB1 PER2,0.9,0.9,0.0,7.0988428592681885
24,5,GO:0003158,PDE2A RBPJ STARD13 PLOD3 COL27A1,0.85,0.9,0.050000000000000044,7.269106149673462
25,5,GO:0001810,FCGR2B BTK,0.92,0.95,0.029999999999999916,5.839197874069214
26,5,GO:0099578,EIF4E EIF4A3 CYFIP1,0.9,0.85,-0.050000000000000044,5.105691909790039
27,5,GO:0072307,LIF YAP1 STAT1 PAX8 WWTR1,0.9,0.95,0.04999999999999993,6.052212953567505
28,5,GO:0050730,IL12A SYK ERRFI1 NRP1 IL15,0.92,0.95,0.029999999999999916,7.582045078277588
29,5,GO:0071241,SHH SYT10 SYT4 ITPKB ADCY1,0.92,0.95,0.029999999999999916,6.034246921539307
30,5,GO:0072014,SLC22A6 SLC22A1 ACAT1 HEYL CTNS,0.85,0.9,0.050000000000000044,7.078877210617065
31,5,GO:0098887,ARHGAP44 RAB11A GRIP1 NSG1 GRIP2,0.92,0.95,0.029999999999999916,5.82514214515686
32,5,GO:0030033,PODXL FSCN1 PLD1 RAP2C NHERF1,0.92,0.95,0.029999999999999916,6.695343971252441
33,5,GO:0001514,SELENOT SEPSECS C6orf52 SECISBP2 SARS1,0.92,0.95,0.029999999999999916,6.311861038208008
34,5,GO:0010742,MAPK9 WNT5A ABCA1 ITGB3 PLA2G10,0.85,0.9,0.050000000000000044,6.505692720413208
35,5,GO:0032701,CD84 IL10 NOD2,0.85,0.95,0.09999999999999998,5.263617038726807
36,5,GO:1905445,HIP1R CALY,0.9,0.95,0.04999999999999993,3.7884128093719482
37,5,GO:0006085,ACSS1 PDHX PDK1 PPCS PDK2,0.92,0.9,-0.020000000000000018,7.097841739654541
38,5,GO:0062237,RAB8A VPS35 CLSTN1 ARHGAP44 ADAM10,0.92,0.95,0.029999999999999916,6.622344970703125
39,5,GO:0051709,CLEC7A IFNG SYK FCER2 PRF1,0.9,0.95,0.04999999999999993,7.064575910568237
40,5,GO:0021985,OTP POU3F2,0.85,0.9,0.050000000000000044,5.5448079109191895
41,5,GO:0072095,SIX1 SIX4 HNF1B,0.92,0.92,0.0,5.448512077331543
42,5,GO:0021694,ATP7A GBA1 CEND1 WHRN SKOR2,0.9,0.95,0.04999999999999993,6.614005088806152
43,5,GO:0086016,GJA5 CXADR CACNB2 CACNA1C TRPM4,0.92,0.95,0.029999999999999916,7.5166332721710205
44,5,GO:0030003,GRIA1 ABL1 SLC39A9 P2RX7 SLC9A9,0.85,0.9,0.050000000000000044,5.288634300231934
45,5,GO:0071307,POSTN GAS6,0.9,0.9,0.0,7.363732099533081
46,5,GO:0046949,GCDH ACSF3 ACSBG1 SLC25A1 HACD1,0.92,0.95,0.029999999999999916,6.857934951782227
47,5,GO:0031929,UBE2N SMCR8 ARAF LAMTOR1 FNIP1,0.92,0.9,-0.020000000000000018,8.439505100250244
48,5,GO:0070943,ELANE F2RL1 TUSC2 ARG1 CTSG,0.92,0.9,-0.020000000000000018,9.216579675674438
49,5,GO:0046700,RNASEH1 SIRT6 SMUG1 WDR82 ENO1,0.9,0.9,0.0,7.5378499031066895
50,5,GO:0002042,FOXC2 MIA3 CRIPTO ITGB1 NRP1,0.92,0.95,0.029999999999999916,8.479862928390503
51,5,GO:0052696,UGT1A3 UGT1A7 UGT1A9 UGT1A8 UGT1A1,0.95,0.95,0.0,7.141625881195068
52,5,GO:0006298,LIG1 MSH5 RPA3 HDAC10 PMS2,0.9,0.9,0.0,6.355340003967285
53,5,GO:0061355,TMEM132A WLS PTPN23 VPS35 PORCN,0.92,0.95,0.029999999999999916,6.031875133514404
54,5,GO:0047496,BLOC1S4 KIF5A AP3S1 KIF3A AP3S2,0.92,0.95,0.029999999999999916,7.4030680656433105
55,5,GO:1901722,WT1 PDGFA SERPINB7 CFLAR GATA3,0.9,0.85,-0.050000000000000044,6.550156116485596
56,5,GO:0050796,ORAI1 DYNLL1 OSBP ADRA2A UQCC2,0.92,0.95,0.029999999999999916,6.139785051345825
57,5,GO:1903999,TTC21B NPSR1,0.85,0.9,0.050000000000000044,5.9814441204071045
58,5,GO:0071295,SNW1 RXRB GDAP1 COL1A1 FGF23,0.92,0.95,0.029999999999999916,5.796759843826294
59,5,GO:0010725,GATA1 GATA2,0.9,0.95,0.04999999999999993,9.52389907836914
60,5,GO:1901534,NUDT21 DHX36 FOXC1 KITLG ZNHIT1,0.9,0.9,0.0,5.825265169143677
61,5,GO:0034392,DNMT1 LRP6 SLC7A5 DIPK2A EDN1,0.85,0.85,0.0,7.020524024963379
62,5,GO:1901825,BCO2 RPE65,0.9,0.95,0.04999999999999993,5.060471057891846
63,5,GO:0006384,BRF1 POLR3H SNAPC5 GTF3C5 GTF3C1,0.92,0.95,0.029999999999999916,5.806432008743286
64,5,GO:1902948,RB1 IFNG,0.85,0.95,0.09999999999999998,4.947293996810913
