iteration,gene_set_size,go_term,genes,traditional_score,rag_score,score_difference,processing_time
0,5,GO:0060585,EDN2 EDN3 EDN1,0.95,0.95,0.0,34.51316714286804
1,5,GO:0002495,CTSE FCGR2B UNC93B1 MARCHF1 HLA-DQB1,0.92,0.85,-0.07000000000000006,44.34491276741028
2,5,GO:0022612,SOSTDC1 TP63 GDF7 LIPA CAV1,0.75,0.75,0.0,39.50273013114929
3,5,GO:2000157,UBXN1 PARK7,0.85,0.85,0.0,32.62757992744446
4,5,GO:0062098,PELI1 FZD9 BIRC3 CAV1 OGT,0.85,0.85,0.0,42.71819591522217
5,5,GO:0000305,NQO1 CD36 SOD3 DHFR GCH1,0.85,0.85,0.0,46.34627628326416
6,5,GO:0045578,INHA SFRP1 INHBA HMGB3 CR1,0.85,0.85,0.0,46.19156002998352
7,5,GO:0061136,BCAP31 TMEM259 UBE2K NKD2 KEAP1,0.85,0.85,0.0,40.872523069381714
8,5,GO:0035655,TICAM2 NLRP6 CYLD CASP4 PIK3R1,0.85,0.85,0.0,52.47791290283203
9,5,GO:0061077,CCT3 HSPA6 DFFA CHORDC1 PFDN5,0.85,0.85,0.0,47.72971296310425
10,5,GO:0023057,ENDOG PTPRD LZIC NCOR1 OTUD4,0.75,0.75,0.0,37.488237142562866
11,5,GO:0048549,CDC42 AXL CLN3 APPL1 PPT1,0.85,0.85,0.0,40.37386608123779
12,5,GO:0009124,ADSL DCK UPRT UCK1 APRT,0.95,0.95,0.0,45.55538296699524
13,5,GO:0071313,RYR3 CASQ2 SELENON TMEM38B SLC8A1,0.92,0.92,0.0,44.95463228225708
14,5,GO:0099557,EPHB2 EFNB3,0.9,0.9,0.0,28.455324172973633
15,5,GO:0001993,TPM1 ADRA1B ADRA1A ADRB2 ADRB3,0.9,0.9,0.0,33.65164804458618
16,5,GO:0060940,PDCD4 SPRY1,0.85,0.85,0.0,31.411285638809204
17,5,GO:0031330,RNF5 USP30 PARN RPTOR KDM4A,0.85,0.85,0.0,40.883055686950684
18,5,GO:0007033,ARL8B ARFIP2 ATG5 ABCA1 GAA,0.85,0.85,0.0,41.077102184295654
19,5,GO:0002286,SOCS5 IL12RB1 IL2 IFNA7 PRKCZ,0.9,0.88,-0.020000000000000018,40.96297097206116
20,5,GO:0021941,SLC6A4 CEND1,0.85,0.85,0.0,30.588672876358032
21,5,GO:0038026,STAT5A LRP8 FKRP RELN PAFAH1B1,0.9,0.85,-0.050000000000000044,43.394938945770264
22,5,GO:0051952,RAB3B DTNBP1 SLC17A8 DRD3 STXBP1,0.92,0.88,-0.040000000000000036,44.62515211105347
23,5,GO:2000059,PRMT6 WNT1 CSNK2A1 SVIP PML,0.85,0.85,0.0,52.068570137023926
24,5,GO:0021903,SSBP3 PAX6 ATP6AP2 EN1 COMMD3-BMI1,0.85,0.85,0.0,40.09794092178345
25,5,GO:0061443,JAG1 ACVR1,0.75,0.85,0.09999999999999998,34.0399169921875
26,5,GO:0015727,SLC16A1 ACACB SLC16A3 SLC5A8 SLC16A8,0.92,0.92,0.0,56.744800090789795
27,5,GO:0048678,MAP1B DHFR NTRK1 GIPR FLRT3,0.85,0.85,0.0,38.62408208847046
28,5,GO:0035584,PRKACA CCL20 VCAM1 HOMER2 TRPM2,0.75,0.75,0.0,41.03811693191528
29,5,GO:0051567,MECP2 PRDM12,0.85,0.85,0.0,31.765973806381226
30,5,GO:0046621,NOG WWC2 SAV1 RBP4 FXN,0.75,0.75,0.0,40.36268377304077
31,5,GO:0001818,APOA1 GSTP1 CD24 ACP5 HFE,0.75,0.75,0.0,40.59532070159912
32,5,GO:0009117,OGDHL RRM2 COASY PRKAA1 KMO,0.85,0.85,0.0,45.31045889854431
33,5,GO:0072162,TCF21 PAX2 WNT4 STAT1 OSR1,0.92,0.88,-0.040000000000000036,39.76256275177002
34,5,GO:0016322,EPHA8 C3 EDNRA C1QA RND1,0.75,0.75,0.0,37.28999185562134
35,5,GO:0006661,PIP5KL1 SH3YL1 PIP5K1A SOCS3 PIGH,0.85,0.85,0.0,41.97885203361511
36,5,GO:2000765,PABPC1 NCK1 EIF2AK4 CPEB1 PARP16,0.85,0.85,0.0,41.101433753967285
37,5,GO:0090178,FZD2 SFRP1 GRHL3 PTK7 SFRP2,0.88,0.85,-0.030000000000000027,34.36738705635071
38,5,GO:0045040,TOMM5 HSPA4 MTCH2 MTCH1 TOMM6,0.9,0.9,0.0,29.936942100524902
39,5,GO:1900449,CX3CL1 NECAB2 FRRS1L PRNP FYN,0.85,0.85,0.0,39.162333250045776
40,5,GO:0043200,PNPLA3 CUL3 BCL2 CDKN1B GRIN1,0.75,0.75,0.0,43.57818913459778
41,5,GO:0006606,NUP133 KPNA5 FAM53C HYAL2 ING1,0.75,0.75,0.0,39.791451930999756
42,5,GO:0007249,PPP5C TFG IFIT5 TRAF3 PDPK1,0.85,0.85,0.0,41.779325008392334
43,5,GO:2000521,LGALS3 HAVCR2,0.85,0.85,0.0,29.94215416908264
44,5,GO:0030047,TRIM32 NAA80 SETD3 TWF1 TRIOBP,0.88,0.85,-0.030000000000000027,36.0021607875824
45,5,GO:0002864,C3 SPN FUT7 NPY5R CNR1,0.75,0.75,0.0,38.37862992286682
46,5,GO:0021549,SEMA4C RPGRIP1L B4GALT2 SEZ6 KIF14,0.85,0.85,0.0,39.045737981796265
47,5,GO:0021555,HES1 GBX2 KDM2B,0.85,0.85,0.0,31.811933994293213
48,5,GO:0033869,VNN1 NUDT8 MLYCD SUCLG1 SUCLA2,0.85,0.85,0.0,43.620033979415894
49,5,GO:0051092,CARD14 RNF25 TRIM15 CARD16 IL6,0.85,0.85,0.0,36.544564962387085
50,5,GO:2000368,HYAL3 ZP3,0.75,0.0,-0.75,25.661016941070557
51,5,GO:0044458,NEURL1 TTLL1 DYNLL1 GK2 TTC12,0.85,0.75,-0.09999999999999998,43.39936304092407
52,5,GO:0032435,USP9X STYX HSP90AB1 SMARCC1 TTC36,0.75,0.75,0.0,43.81695580482483
53,5,GO:0003159,DLL4 CSNK2B RHOB STARD13 CTNNB1,0.85,0.85,0.0,43.684656858444214
54,5,GO:1902513,MECP2 LAMP1 HAP1 STK11 TRIM46,0.75,0.75,0.0,44.17375302314758
55,5,GO:0015015,HS6ST1 NDST1 NDST2 HS3ST2 HS3ST3A1,0.98,0.95,-0.030000000000000027,35.78298282623291
56,5,GO:0002125,AVPR1A AVP,0.95,0.95,0.0,31.659071922302246
57,5,GO:0015729,UCP2 SLC13A5 SLC25A10 SLC25A11,0.92,0.85,-0.07000000000000006,38.85488414764404
58,5,GO:0032308,PLA2G10 MIF IL1B TNFRSF11A P2RX4,0.88,0.85,-0.030000000000000027,43.54085397720337
59,5,GO:0045579,XBP1 SYK NCKAP1L BTK IL2RG,0.9,0.9,0.0,43.02769470214844
60,5,GO:0034441,PLA2G7 APOM PON1 APOA4,0.92,0.92,0.0,35.42344117164612
61,5,GO:0072182,LIF PAX2 GATA3 WWTR1 CTNNB1,0.92,0.88,-0.040000000000000036,42.725955963134766
62,5,GO:0031345,PPP3CA DTNBP1 MT3 SEMA5A LIMK2,0.85,0.85,0.0,41.23959279060364
63,5,GO:0015909,MFSD2A SPX SLC27A4 CD36 ACSL1,0.92,0.92,0.0,35.63428997993469
64,5,GO:1901203,CLASP2 TGFBR1 MAD2L2 RGCC TGFB1,0.85,0.85,0.0,39.52306604385376
65,5,GO:0010760,STAP1 SLAMF8 MMP28 DDT MIF,0.75,0.75,0.0,41.088958978652954
66,5,GO:1903588,NGFR PDCD10 IL12A IL12B THBS1,0.85,0.85,0.0,35.01953101158142
67,5,GO:1905325,ZWINT KNL1,0.95,0.95,0.0,29.840049743652344
68,5,GO:0045123,ITGA4 ITGAL CX3CR1 LEP LYVE1,0.92,0.88,-0.040000000000000036,33.99345111846924
69,5,GO:0001960,OAS3 F2RL1 PALM3 MMP12 ISG15,0.85,0.85,0.0,39.73843693733215
70,5,GO:0045199,ANK1 LIN7B LIN7A LIN7C CRB2,0.9,0.9,0.0,34.19332194328308
71,5,GO:0033539,ETFBKMT ETFB ACADM ACAD11 ETFA,0.95,0.95,0.0,34.3964159488678
72,5,GO:0070668,LYN KIT RAC2 KITLG,0.92,0.92,0.0,35.77656316757202
73,5,GO:0072567,LPL TGFB1 MIF KLF4 TIRAP,0.85,0.85,0.0,53.703352212905884
74,5,GO:0036119,MTSS2 CCNA2 YES1 IQGAP1 HYAL1,0.85,0.85,0.0,41.04677414894104
75,5,GO:0006887,MRGPRX2 STX1A ANXA2 RAB11FIP5 UNC13C,0.85,0.85,0.0,39.26563286781311
76,5,GO:1905064,DNMT1 FGF9 PDGFB HEY2 NFATC2,0.85,0.85,0.0,32.89585089683533
77,5,GO:0072133,BMP7 SMAD4 OSR1 MYC,0.85,0.85,0.0,52.9897940158844
78,5,GO:0097500,BBIP1 ARL13B TUB IFT80 ARL13A,0.95,0.95,0.0,36.50968599319458
79,5,GO:1905746,EIF1 EXOSC10 UPF1 UPF3A UPF3B,0.95,0.95,0.0,34.0492479801178
80,5,GO:0150172,CAPN2 LPCAT1 ACSL3 RAB38 MFSD2A,0.85,0.85,0.0,46.23750400543213
81,5,GO:0014878,RPS6KB1 TRIM63 MYOG,0.9,0.9,0.0,40.88719415664673
82,5,GO:0071280,MT1A MT1HL1 MT1E MT1F MT1B,0.98,0.95,-0.030000000000000027,34.932348012924194
83,5,GO:0019359,PARP9 NMRK1 PTGIS IDO2 ASPDH,0.85,0.85,0.0,45.190917015075684
84,5,GO:0021783,NRP2 SEMA3F NAV2 TBX1 PHOX2A,0.88,0.85,-0.030000000000000027,38.24013018608093
85,5,GO:0000023,GAA MGAM GANC,0.95,0.95,0.0,31.1161630153656
86,5,GO:0033209,ZNF675 NLRP2B BIRC2 RRAGA OTULIN,0.85,0.75,-0.09999999999999998,42.554681062698364
87,5,GO:0034250,YTHDF3 NPM1 DAZ4 UPF3B DAZ2,0.85,0.85,0.0,36.106714963912964
88,5,GO:0071372,GCLC FSHR GATA1 EFNA5 NOTCH1,0.75,0.75,0.0,39.76049208641052
89,5,GO:0044565,TBK1 BCL2L1 AZI2,0.85,0.85,0.0,42.03007197380066
90,5,GO:0090076,TNNI2 ATP2A1 KCNJ2 KBTBD13,0.85,0.85,0.0,47.06800627708435
91,5,GO:0045912,MTCL2 PRKACA GSK3A INS LOC102724428,0.85,0.85,0.0,42.54606795310974
92,5,GO:0045841,CDC20 XRCC3 MAD2L2 TRIP13 CDK5RAP2,0.9,0.85,-0.050000000000000044,45.23200511932373
93,5,GO:0034285,SLC6A1 PNPLA3 ERCC1 ADIPOQ CALCRL,0.65,0.65,0.0,35.63258695602417
94,5,GO:0043687,RNF126 KLHL20 DCAF7 RNF5 RNF213,0.92,0.9,-0.020000000000000018,33.198020219802856
95,5,GO:0120045,TPRN PJVK CLRN2,0.85,0.0,-0.85,65.84959411621094
96,5,GO:0001694,HDC PRG3,0.85,0.85,0.0,31.783733129501343
97,5,GO:0051048,ERBB3 RAB11FIP3 F2R DRD4 UCN,0.75,0.75,0.0,47.68104887008667
98,5,GO:0019751,ACER3 TPI1 PTS SNCA P2RY1,0.75,0.75,0.0,49.055903911590576
99,5,GO:0060742,FEM1B FGFR2 NOTCH1 PSAP PSAPL1,0.85,0.85,0.0,81.4606580734253
0,10,GO:0090383,RAB7A TCIRG1 RAB38 SLAMF8 RAB20 RAB39A SLC4A7,0.85,0.85,0.0,72.49563694000244
1,10,GO:0022600,TFF3 SLC5A1 CYP8B1 SLC26A7 NEUROD1 CHRM3 ZNF830 NPSR1 IREB2 HIP1R,0.85,0.85,0.0,86.0119948387146
2,10,GO:0060297,MYLK3 AKAP13 EDN1 ANKRD23 BMP10 PROX1 CAV3 PRKD1,0.85,0.85,0.0,46.31889081001282
3,10,GO:0000423,ADCY10 TIGAR LRBA VPS13D RNF41 ATG4B BECN2 TAFAZZIN TOMM7 MFN2,0.85,0.85,0.0,40.36809015274048
4,10,GO:0048632,TLL2 MSTN,0.9,0.95,0.04999999999999993,31.519415140151978
5,10,GO:0002778,NOD2 PGC KLK5 KLK3 ELANE SPINK5 KLK7 LGALS4,0.85,0.85,0.0,105.43167805671692
6,10,GO:0002465,CD274 HLA-G AIRE FOXP3,0.92,0.92,0.0,68.0347249507904
7,10,GO:0042770,DOT1L PLK2 ATRIP SP100 TOPBP1 ATAD5 CDK5RAP3 SMYD2 NOP53 ABRAXAS1,0.85,0.85,0.0,52.68767309188843
8,10,GO:0006782,UROD ALAS2 ALAS1 ALAD UROS IREB2 PPOX HMBS CPOX,0.98,0.98,0.0,44.61334300041199
9,10,GO:0010560,SLC51B IL33 PAWR PLCB1 ALG10B TCF7L2 RAMP1 PXYLP1 IL15 MUSTN1,0.75,0.75,0.0,55.63491606712341
10,10,GO:0006805,FMO5 NOS1 CYP2A7 EPHX1 SULT1A2 SLCO1B1 UGT2B17 CYP46A1 CYP2D6 ABCC5,0.92,0.92,0.0,37.98685693740845
11,10,GO:0016125,MSMO1 LIPE CYP2D6 SNX17 LIPA CYP51A1 CYP26C1 CYP1B1 APOL1 TM7SF2,0.85,0.85,0.0,46.52757716178894
12,10,GO:0006639,MOGAT3 DGKG AWAT2 SIRT1 AGPAT2 LIPA DGKZ DGAT1 NR1H3 AVIL,0.89,0.88,-0.010000000000000009,53.53221297264099
13,10,GO:0098780,GPS2 SQSTM1 PRKN VDAC1 OPTN ATP5IF1 PINK1 ATG13 TOMM7 HDAC6,0.92,0.92,0.0,38.610954999923706
14,10,GO:0031663,NFKBIL1 TICAM2 PTPN22 SASH1 ACOD1 PRKCE BPI DEFB114 MIF TLR4,0.88,0.85,-0.030000000000000027,1229.3166542053223
15,10,GO:0072176,EPHA4 PKD1 WNT11 HNF1B OSR1 EFNB2 EPHA7 PKD2 GREB1L PAX2,0.92,0.92,0.0,47.360645055770874
