iteration,gene_set_size,go_term,genes,traditional_score,rag_score,score_difference,processing_time
0,5,GO:0007507,TSC2 TOMM70 SNAI2 SMO TTN,0.0,0.0,0.0,11.749542951583862
1,5,GO:0003219,SMARCD3 HAND2 HAND1 NOTCH1,0.0,0.95,0.95,8.527971744537354
2,5,GO:0035666,TRAF6 CD300LF TICAM2 TICAM1 TLR6,0.95,0.95,0.0,9.506165027618408
3,5,GO:1990786,RIOK3 EPG5,0.0,0.0,0.0,8.128352880477905
4,5,GO:0021766,LMX1A MAS1 EMX2 MKKS XRN2,0.0,0.0,0.0,9.462301254272461
5,5,GO:1900239,MYOCD FGF9 DNMT1,0.0,0.85,0.85,6.378664970397949
6,5,GO:0060039,TBX20 RPGRIP1L HEG1 HAND2 BMP5,0.0,0.95,0.95,7.990657091140747
7,5,GO:0070973,SEC16A BCAP29 MIA3 LRRK2 GBF1,0.85,0.0,-0.85,49.24545192718506
8,5,GO:0000451,MRM3 MRM1 MRM2,0.0,0.0,0.0,8.43821096420288
9,5,GO:0032024,BAIAP3 GPER1 GPLD1 FFAR2 CAPN10,0.8,0.0,-0.8,10.08094310760498
10,5,GO:0000451,MRM3 MRM1 MRM2,0.0,0.0,0.0,6.148238897323608
11,5,GO:0006388,RTRAF C2orf49 TSEN54 CLP1 TSEN15,0.0,0.0,0.0,7.942868947982788
12,5,GO:2000819,ACTB PHF10 BCL7A SMARCC1 KAT7,0.0,0.0,0.0,8.992894887924194
13,5,GO:1905590,LOXL3 TNFAIP6,0.0,0.0,0.0,6.174149751663208
14,5,GO:0043171,DPEP1 IDE TRHDE DPEP2 ENPEP,0.0,0.0,0.0,13.571340084075928
15,5,GO:0048073,HPS4 SPNS2 IHH,0.0,0.9,0.9,10.52364993095398
16,5,GO:0038091,VEGFA PDGFRA PDGFRB,0.0,0.0,0.0,8.058175802230835
17,5,GO:0071702,HBA1 EFHB CRHBP BMP8A SLC35E3,0.0,0.0,0.0,11.432417869567871
18,5,GO:0007354,TIFAB WT1 PCSK6 NEUROG1 DCANP1,0.0,0.0,0.0,7.245097875595093
19,5,GO:0001655,GLI1 CRKL PAX2 ALOX15B PBX1,0.0,0.0,0.0,10.550336122512817
