iteration,gene_set_size,go_term,genes,traditional_score,rag_score,score_difference,processing_time
0,5,GO:0031509,HAT1 SIRT2 EZH1 RIF1 EZH2,0.98,0.92,-0.05999999999999994,17.459956884384155
1,5,GO:0061036,BMP4 RUNX2 ZNF219 BMPR1B SMAD7,0.98,0.98,0.0,18.244972944259644
2,5,GO:0043367,STAT4 RC3H1 PTGER4 SASH3 JAK1,0.92,0.92,0.0,16.174407958984375
3,5,GO:0048852,OTX1 WNT5A PROP1,0.92,0.88,-0.040000000000000036,17.204214096069336
4,5,GO:0014052,HTR1B GABBR1 SLC6A1 TRH SV2A,0.92,0.92,0.0,16.47192883491516
5,5,GO:0021799,FOXG1 P2RY12 LAMB1 SRGAP2C DIXDC1,0.88,0.88,0.0,17.627840995788574
6,5,GO:0070328,APOC4 MLXIPL GIP ABCG8 RORA,0.88,0.88,0.0,15.11316204071045
7,5,GO:0000245,CELF5 PRPF19 NOL3 SNIP1 CELF3,0.98,0.92,-0.05999999999999994,12.09810185432434
8,5,GO:0060986,CRHBP GNRHR PPARG HCAR2 LEP,0.92,0.92,0.0,14.95069169998169
9,5,GO:0032815,PGLYRP3 CLNK RHBDD3 PGLYRP1 PIBF1,0.92,0.92,0.0,5.612075090408325
10,5,GO:0051974,ERCC4 POT1 PINX1 CERS1 PIF1,0.92,0.88,-0.040000000000000036,10.793964624404907
11,5,GO:0007249,NOD1 CACTIN RELA ROCK2 ECT2,0.92,0.88,-0.040000000000000036,9.663246870040894
12,5,GO:0046364,SLC25A11 PGAM1 CRY1 ARPP19 PGK2,0.88,0.88,0.0,11.336965084075928
13,5,GO:0034698,GCLC NOTCH1 PAX8 SRD5A1 GATA6,0.88,0.88,0.0,14.804199934005737
14,5,GO:0060371,SCN1B SCN10A GJA1 TBX5 SCN2B,0.98,0.92,-0.05999999999999994,25.047572135925293
15,5,GO:0010720,OTP NOTCH1 SMARCE1 ITGB1 IL36B,0.92,0.92,0.0,17.50057601928711
16,5,GO:0003006,SUN1 ADCYAP1R1 SPATA19 SOX17 ID4,0.88,0.88,0.0,16.92997694015503
